City_ID,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temp(F),Wind Speed(mph)
87,lebu,21,CL,1613174511,83,-37.62,-73.65,59.14,14.36
88,anton lizardo,90,MX,1613174562,78,19.05,-95.98,70.0,23.02
89,sovetskiy,100,RU,1613174562,91,61.36,63.58,-9.58,4.47
90,kenai,1,US,1613174178,59,60.55,-151.26,32.0,13.8
91,puerto ayora,42,EC,1613174463,95,-0.74,-90.35,77.0,4.0
92,geraldton,99,AU,1613174087,36,-28.77,114.6,78.8,9.46
93,iquique,0,CL,1613174541,44,-20.22,-70.14,77.0,17.27
94,buraydah,0,SA,1613174032,67,26.33,43.98,59.0,4.61
95,mount gambier,90,AU,1613173998,88,-37.83,140.77,59.0,10.36
96,palmer,90,US,1613173984,53,42.16,-72.33,24.01,0.83
97,dzhebariki-khaya,81,RU,1613174564,84,62.22,135.8,1.36,1.5
98,alta floresta,100,BR,1613174213,95,-9.88,-56.09,73.29,3.15
99,arraial do cabo,100,BR,1613174561,87,-22.97,-42.03,76.41,18.63
100,avarua,20,CK,1613174465,70,-21.21,-159.78,84.2,4.61
101,tuatapere,89,NZ,1613173997,62,-46.13,167.68,66.99,5.99
102,alofi,93,NU,1613174046,79,-19.06,-169.92,84.2,9.22
103,tasiilaq,75,GL,1613174500,74,65.61,-37.64,30.2,36.82
104,hermanus,4,ZA,1613174480,85,-34.42,19.23,67.28,6.71
105,karratha,72,AU,1613174212,67,-20.74,116.85,81.07,5.03
106,yellowknife,20,CA,1613174487,70,62.46,-114.35,-11.0,2.3
107,castro,72,BR,1613174520,95,-24.79,-50.01,62.4,3.11
108,esperance,12,AU,1613174042,82,-33.87,121.9,60.8,5.75
109,namatanai,57,PG,1613174197,66,-3.67,152.43,85.96,4.18
110,tikrit,85,IQ,1613174566,49,34.61,43.68,56.7,2.15
111,taoudenni,0,ML,1613174109,18,22.68,-3.98,69.75,14.58
112,mason city,1,US,1613174567,54,43.15,-93.2,-7.6,16.11
113,tobol,100,KZ,1613174449,98,52.68,62.58,20.95,2.57
114,keningau,20,MY,1613174449,94,5.34,116.16,75.2,4.61
115,hasaki,20,JP,1613174001,81,35.73,140.83,42.8,4.61
116,san policarpo,34,PH,1613174482,85,12.18,125.51,78.64,4.07
